,Class,training,cidi_prob,cido_prob,codi_prob,codo_prob,wcd_prob,dfg_conf,dfg_prob,p1p1x,p2p2x,r3r3x,h_cgvc,ang_NHs,ang_CHs,dist_NH,dist_CH
2170,codi,,0.0,0.0,0.98,0.011,0.009,di,0.964,0.985461628,0.95907728,0.991736222,0.250511313,0.45755997612144933,0.4310227954679068,0.4199230190180033,0.4190227087543859
2171,cidi,,0.996,0.002,0.0,0.0,0.002,di,0.999,0.954203059,0.98827504,0.98013423,0.984767278,-0.1496520136798903,-0.11414386923700597,-0.11914052243120073,-0.050648619630234364
2172,cidi,,0.999,0.001,0.0,0.0,0.0,di,1.0,0.9877082,0.975659309,0.990667101,0.920255869,-0.15709386794523694,-0.11328631607645004,-0.1491668695395822,-0.19233479708224407
2173,cidi,,0.994,0.005,0.0,0.0,0.001,di,1.0,0.986298278,0.988580932,0.999923725,0.976668543,-0.0764288620898717,-0.14029293430765374,-0.170758053237136,-0.09048652712720191
2174,cidi,,0.832,0.0,0.155,0.002,0.011,di,1.0,0.9937389,0.986945423,0.994068925,0.943774061,0.042663732291831014,-0.1151187213389551,0.07582330635002027,-0.19758210511671517
2175,cidi,,0.996,0.0,0.003,0.0,0.001,di,1.0,0.986490827,0.999126092,0.995374113,0.952771901,-0.08072566865706862,-0.10754762678739695,-0.12271939233796364,-0.2200475999945494
2176,wcd,,0.001,0.019,0.001,0.01,0.969,other,0.931,-0.237408219,0.614157947,0.006750138,0.8079472320000001,0.15564449290987953,0.1445388621332177,0.02605829154880583,-0.04173831269439361
2177,cidi,,0.867,0.064,0.063,0.002,0.004,di,0.998,0.991259989,0.945312932,0.990370877,0.892037925,-0.08984284956412919,0.08305300574352444,-0.06943136327124047,0.026471407253461886
2178,cidi,,0.927,0.009,0.062,0.0,0.002,di,0.995,0.937167786,0.822988713,0.8938636640000001,0.908265507,0.015227085884120469,-0.18755868180651683,0.03991851876477539,-0.13837037295425406
2179,codi,,0.0,0.0,0.969,0.007,0.024,di,0.984,0.8922975190000001,0.886852614,0.937867453,-0.119644064,0.5136630305184424,0.5098388278365226,0.5534941705188846,0.5675758947853619
